s_id	sentence	target_tags	opinion_words_tags
train-0	The speed is incredible and I am more than satisfied .	The\O speed\B is\O incredible\O and\O I\O am\O more\O than\O satisfied\O .\O	The\O speed\O is\O incredible\B and\O I\O am\O more\O than\O satisfied\B .\O
train-1	super fast processor and really nice graphics card ..	super\O fast\O processor\B and\O really\O nice\O graphics\O card\O ..\O	super\O fast\B processor\O and\O really\O nice\O graphics\O card\O ..\O
train-2	super fast processor and really nice graphics card ..	super\O fast\O processor\O and\O really\O nice\O graphics\B card\I ..\O	super\O fast\O processor\O and\O really\O nice\B graphics\O card\O ..\O
train-3	Was not happy with one of the programs on it .	Was\O not\O happy\O with\O one\B of\I the\I programs\I on\O it\O .\O	Was\O not\B happy\I with\O one\O of\O the\O programs\O on\O it\O .\O
train-4	I got it back again and was told the motherboard had been replaced , so I was now on the SECOND motherboard within 3 months .	I\O got\O it\O back\O again\O and\O was\O told\O the\O motherboard\B had\O been\O replaced\O ,\O so\O I\O was\O now\O on\O the\O SECOND\O motherboard\O within\O 3\O months\O .\O	I\O got\O it\O back\O again\O and\O was\O told\O the\O motherboard\O had\O been\O replaced\B ,\O so\O I\O was\O now\O on\O the\O SECOND\O motherboard\O within\O 3\O months\O .\O
train-5	I got it back again and was told the motherboard had been replaced , so I was now on the SECOND motherboard within 3 months .	I\O got\O it\O back\O again\O and\O was\O told\O the\O motherboard\O had\O been\O replaced\O ,\O so\O I\O was\O now\O on\O the\O SECOND\O motherboard\B within\O 3\O months\O .\O	I\O got\O it\O back\O again\O and\O was\O told\O the\O motherboard\O had\O been\O replaced\O ,\O so\O I\O was\O now\O on\O the\O SECOND\O motherboard\O within\O 3\O months\O .\O
train-6	I bought a protector for my key pad and it works great : )	I\O bought\O a\O protector\B for\O my\O key\O pad\O and\O it\O works\O great\O :\O )\O	I\O bought\O a\O protector\O for\O my\O key\O pad\O and\O it\O works\O great\B :\O )\O
train-7	I bought a protector for my key pad and it works great : )	I\O bought\O a\O protector\O for\O my\O key\B pad\I and\O it\O works\O great\O :\O )\O	I\O bought\O a\O protector\O for\O my\O key\O pad\O and\O it\O works\O great\O :\O )\O
train-8	It 's a great product for a great price !	It\O 's\O a\O great\O product\O for\O a\O great\O price\B !\O	It\O 's\O a\O great\O product\O for\O a\O great\B price\O !\O
train-9	I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter , so it 's not just an isolated incident ! ! !	I\O spoke\O with\O a\O service\O rep\O at\O Micro\O Center\O and\O his\O girlfriend\O is\O having\O the\O same\O problem\O with\O her\O power\B adapter\I ,\O so\O it\O 's\O not\O just\O an\O isolated\O incident\O !\O !\O !\O	I\O spoke\O with\O a\O service\O rep\O at\O Micro\O Center\O and\O his\O girlfriend\O is\O having\O the\O same\O problem\B with\O her\O power\O adapter\O ,\O so\O it\O 's\O not\O just\O an\O isolated\O incident\O !\O !\O !\O
train-10	I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter , so it 's not just an isolated incident ! ! !	I\O spoke\O with\O a\O service\B rep\I at\O Micro\O Center\O and\O his\O girlfriend\O is\O having\O the\O same\O problem\O with\O her\O power\O adapter\O ,\O so\O it\O 's\O not\O just\O an\O isolated\O incident\O !\O !\O !\O	I\O spoke\O with\O a\O service\O rep\O at\O Micro\O Center\O and\O his\O girlfriend\O is\O having\O the\O same\O problem\O with\O her\O power\O adapter\O ,\O so\O it\O 's\O not\O just\O an\O isolated\O incident\O !\O !\O !\O
train-11	The brand is tarnished in my heart .	The\O brand\B is\O tarnished\O in\O my\O heart\O .\O	The\O brand\O is\O tarnished\B in\O my\O heart\O .\O
train-12	It has many great programs , such as ILife , iPhotos and others .	It\O has\O many\O great\O programs\B ,\O such\O as\O ILife\O ,\O iPhotos\O and\O others\O .\O	It\O has\O many\O great\B programs\O ,\O such\O as\O ILife\O ,\O iPhotos\O and\O others\O .\O
train-13	It has many great programs , such as ILife , iPhotos and others .	It\O has\O many\O great\O programs\O ,\O such\O as\O ILife\B ,\O iPhotos\O and\O others\O .\O	It\O has\O many\O great\B programs\O ,\O such\O as\O ILife\O ,\O iPhotos\O and\O others\O .\O
